Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 
TIME       :
FILENAME   : 
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB00-EP774  219.
  Instrument number       =UTC-6
                          =0
  Location                =BARO
  Sample period           =H01
  Sample method           =T
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =750,000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   �C
  Range                   =100,000   �C


[Series settings]
  Serial number           =BB00-EP774  219.
  Instrument number       =UTC-6
  Location                =BARO
  Sample period           =00 01:00:00 0
  Sample method           =T
  Start date / time       =16:13:11 1-03-24
  End date / time         =16:13:10 30-06-24
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =750,000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   �C
  Range                   =100,000   �C


Date/time;Pressure[cmH2O];Temperature[�C]
2024/03/01 00:35:40;1041,250;19,957
2024/03/01 01:35:40;1039,975;19,840
2024/03/01 02:35:40;1039,500;19,730
2024/03/01 03:35:40;1037,950;19,620
2024/03/01 04:35:40;1039,025;19,520
2024/03/01 05:35:40;1038,425;19,457
2024/03/01 06:35:40;1038,425;19,450
2024/03/01 07:35:40;1038,350;19,433
2024/03/01 08:35:40;1038,675;19,387
2024/03/01 09:35:40;1038,875;20,323
2024/03/01 10:35:40;1038,750;19,607
2024/03/01 11:35:40;1038,750;19,443
2024/03/01 12:35:40;1038,000;19,410
2024/03/01 13:35:40;1037,800;19,420
2024/03/01 14:35:40;1038,350;19,420
2024/03/01 15:35:40;1037,950;19,433
2024/03/01 16:35:40;1037,675;19,420
2024/03/01 17:35:40;1037,875;19,443
2024/03/01 18:35:40;1038,425;19,473
2024/03/01 19:35:40;1038,825;19,457
2024/03/01 20:35:40;1039,225;19,420
2024/03/01 21:35:40;1039,425;19,403
2024/03/01 22:35:40;1039,825;19,370
2024/03/01 23:35:40;1038,750;19,340
2024/03/02 00:35:40;1038,425;19,300
2024/03/02 01:35:40;1038,675;19,247
2024/03/02 02:35:40;1037,750;19,207
2024/03/02 03:35:40;1037,675;19,160
2024/03/02 04:35:40;1037,475;19,137
2024/03/02 05:35:40;1038,625;19,107
2024/03/02 06:35:40;1039,150;19,090
2024/03/02 07:35:40;1039,825;19,097
2024/03/02 08:35:40;1040,025;19,107
2024/03/02 09:35:40;1040,375;19,113
2024/03/02 10:35:40;1040,375;19,240
2024/03/02 11:35:40;1040,500;19,263
2024/03/02 12:35:40;1039,300;19,293
2024/03/02 13:35:40;1038,550;19,277
2024/03/02 14:35:40;1038,350;19,293
2024/03/02 15:35:40;1037,550;19,323
2024/03/02 16:35:40;1037,075;19,380
2024/03/02 17:35:40;1037,075;19,420
2024/03/02 18:35:40;1037,275;19,490
2024/03/02 19:35:40;1037,400;19,503
2024/03/02 20:35:40;1037,875;19,537
2024/03/02 21:35:40;1038,200;19,537
2024/03/02 22:35:40;1038,475;19,543
2024/03/02 23:35:40;1038,425;19,560
2024/03/03 00:35:40;1038,150;19,550
2024/03/03 01:35:40;1038,075;19,527
2024/03/03 02:35:40;1037,125;19,520
2024/03/03 03:35:40;1036,925;19,513
2024/03/03 04:35:40;1037,000;19,490
2024/03/03 05:35:40;1037,075;19,480
2024/03/03 06:35:40;1037,275;19,450
2024/03/03 07:35:40;1037,800;19,457
2024/03/03 08:35:40;1038,000;19,443
2024/03/03 09:35:40;1038,475;19,433
2024/03/03 10:35:40;1038,550;19,480
2024/03/03 11:35:40;1037,875;19,607
2024/03/03 12:35:40;1037,200;19,863
2024/03/03 13:35:40;1036,650;20,160
2024/03/03 14:35:40;1036,000;20,427
2024/03/03 15:35:40;1035,525;20,740
2024/03/03 16:35:40;1035,400;21,073
2024/03/03 17:35:40;1035,575;21,357
2024/03/03 18:35:40;1036,200;21,560
2024/03/03 19:35:40;1036,250;21,670
2024/03/03 20:35:40;1036,650;21,747
2024/03/03 21:35:40;1036,450;21,770
2024/03/03 22:35:40;1036,400;21,763
2024/03/03 23:35:40;1036,125;21,753
2024/03/04 00:35:40;1035,925;21,730
2024/03/04 01:35:40;1035,450;21,723
2024/03/04 02:35:40;1034,975;21,723
2024/03/04 03:35:40;1034,775;21,717
2024/03/04 04:35:40;1035,050;21,717
2024/03/04 05:35:40;1035,575;21,730
2024/03/04 06:35:40;1036,400;21,730
2024/03/04 07:35:40;1036,725;21,730
2024/03/04 08:35:40;1037,075;21,730
2024/03/04 09:35:40;1036,925;21,747
2024/03/04 10:35:40;1036,875;21,770
2024/03/04 11:35:40;1036,675;21,863
2024/03/04 12:35:40;1035,600;21,933
2024/03/04 13:35:40;1034,050;21,980
2024/03/04 14:35:40;1032,625;22,060
2024/03/04 15:35:40;1031,275;22,037
2024/03/04 16:35:40;1032,350;22,013
2024/03/04 17:35:40;1032,500;22,067
2024/03/04 18:35:40;1032,875;22,083
2024/03/04 19:35:40;1032,900;22,067
2024/03/04 20:35:40;1033,625;22,037
2024/03/04 21:35:40;1034,050;22,003
2024/03/04 22:35:40;1033,575;21,973
2024/03/04 23:35:40;1033,700;21,920
2024/03/05 00:35:40;1032,275;21,887
2024/03/05 01:35:40;1032,150;21,823
2024/03/05 02:35:40;1031,550;21,770
2024/03/05 03:35:40;1030,800;21,730
2024/03/05 04:35:40;1031,075;21,677
2024/03/05 05:35:40;1031,000;21,630
2024/03/05 06:35:40;1032,950;21,573
2024/03/05 07:35:40;1030,450;21,537
2024/03/05 08:35:40;1031,275;21,490
2024/03/05 09:35:40;1031,950;21,473
2024/03/05 10:35:40;1031,475;21,450
2024/03/05 11:35:40;1030,675;21,490
2024/03/05 12:35:40;1030,925;21,607
2024/03/05 13:35:40;1031,125;21,800
2024/03/05 14:35:40;1031,875;21,980
2024/03/05 15:35:40;1031,400;22,113
2024/03/05 16:35:40;1029,525;22,177
2024/03/05 17:35:40;1028,425;22,207
2024/03/05 18:35:40;1030,050;22,240
2024/03/05 19:35:40;1030,400;22,223
2024/03/05 20:35:40;1030,925;22,183
2024/03/05 21:35:40;1031,075;22,107
2024/03/05 22:35:40;1031,475;22,020
2024/03/05 23:35:40;1031,125;21,910
2024/03/06 00:35:40;1031,000;21,810
2024/03/06 01:35:40;1031,200;21,683
2024/03/06 02:35:40;1031,075;21,560
2024/03/06 03:35:40;1031,000;21,427
2024/03/06 04:35:40;1031,125;21,300
