Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 
TIME       : 
FILENAME   : 
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-EU174  219.
  Instrument number       =UTC-6
                          =0
  Location                =EXAMPLE_1
  Sample period           =H01
  Sample method           =T
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   �C
  Range                   =100,000   �C


[Series settings]
  Serial number           =..00-EU174  219.
  Instrument number       =UTC-6
  Location                =NO_35_VEI_EU174
  Sample period           =00 01:00:00 0
  Sample method           =T
  Start date / time       =16:13:11 1-03-24
  End date / time         =16:13:10 30-06-24
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   �C
  Range                   =100,000   �C


Date/time;Pressure[cmH2O];Temperature[�C]
2024/03/01 00:13:16;1098,950;20,503
2024/03/01 01:13:16;1097,608;20,503
2024/03/01 02:13:16;1096,325;20,513
2024/03/01 03:13:16;1240,000;20,513
2024/03/01 04:13:16;1239,533;20,503
2024/03/01 05:13:16;1239,825;20,467
2024/03/01 06:13:16;1238,483;20,420
2024/03/01 07:13:16;1236,908;20,350
2024/03/01 08:13:16;1234,108;20,317
2024/03/01 09:13:16;1230,200;20,287
2024/03/01 10:13:16;1225,067;20,277
2024/03/01 11:13:16;1219,642;20,270
2024/03/01 12:13:16;1214,275;20,270
2024/03/01 13:13:16;1209,725;20,253
2024/03/01 14:13:16;1206,342;20,247
2024/03/01 15:13:16;1202,725;20,240
2024/03/01 16:13:16;1199,808;20,240
2024/03/01 17:13:16;1196,833;20,223
2024/03/01 18:13:16;1195,550;20,247
2024/03/01 19:13:16;1194,500;20,223
2024/03/01 20:13:16;1193,800;20,223
2024/03/01 21:13:16;1193,625;20,223
2024/03/01 22:13:16;1192,925;20,223
2024/03/01 23:13:16;1192,633;20,207
2024/03/02 00:13:16;1191,875;20,193
2024/03/02 01:13:16;1191,175;20,193
2024/03/02 02:13:16;1190,708;20,193
2024/03/02 03:13:16;1189,833;20,200
2024/03/02 04:13:16;1188,958;20,183
2024/03/02 05:13:16;1189,717;20,193
2024/03/02 06:13:16;1189,833;20,183
2024/03/02 07:13:16;1189,833;20,183
2024/03/02 08:13:16;1189,833;20,183
2024/03/02 09:13:16;1189,833;20,183
2024/03/02 10:13:16;1188,958;20,170
2024/03/02 11:13:16;1189,425;20,170
2024/03/02 12:13:16;1188,258;20,183
2024/03/02 13:13:16;1186,625;20,160
2024/03/02 14:13:16;1186,508;20,160
2024/03/02 15:13:16;1185,633;20,177
2024/03/02 16:13:16;1185,925;20,177
2024/03/02 17:13:16;1186,625;20,160
